# wavelength	flux
5.351237711117380513e+02	-5.810341509819962405e-15
5.351437042031152487e+02	1.973967423709015873e-14
5.351636372944924460e+02	6.709973509032860287e-15
5.351835703858696434e+02	6.008972430016990343e-16
5.352035034772468407e+02	9.968159008996464038e-15
5.352234365686239244e+02	-2.933035174259332294e-15
5.352433696600011217e+02	-4.152561289161874275e-16
5.352633027513783190e+02	9.269155657186693362e-16
5.352832358427555164e+02	1.975648445296136757e-15
5.353031689341327137e+02	2.676318387369189472e-16
5.353231020255099111e+02	8.736580726985236633e-15
5.353430351168869947e+02	3.227146189369706729e-15
5.353629682082641921e+02	1.804989094116287579e-15
5.353829012996413894e+02	-2.080107936483326092e-15
5.354028343910185868e+02	6.091784300171201524e-15
5.354227674823957841e+02	1.090869909967171879e-16
5.354427005737729814e+02	4.056037596717951277e-15
5.354626336651500651e+02	-2.082184649511756823e-15
5.354825667565272624e+02	-6.813094264646914200e-15
5.355024998479044598e+02	-8.679544492932447439e-16
5.355224329392816571e+02	-2.834285320411347384e-15
5.355423660306588545e+02	-1.429000909708997083e-15
5.355622991220360518e+02	1.143505728449636179e-16
5.355822322134131355e+02	-5.361243370636311484e-15
5.356021653047903328e+02	-3.272318244688541752e-15
5.356220983961675302e+02	-1.544488134594726968e-15
5.356420314875447275e+02	3.032199227218524556e-15
5.356619645789219248e+02	2.552907328080573218e-15
5.356818976702991222e+02	-6.258740846822128528e-15
5.357018307616763195e+02	1.525360224821593544e-15
5.357217638530534032e+02	1.365662115253925453e-15
